listing_id,url,title,published_at,property_type,district,direction,price,area_sqm,rooms,bathrooms,age_years,actual_annual_rent,yield_pct,key_features,من_المالك_مباشرة,owner_detection_reason,advertiser_name,description
6836042,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-الجامعة/شارع-اليسير-حي-الجامعة-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6836042,"عمارة للبيع في شارع اليسير, حي الجامعة, مدينة مكة المكرمة, منطقة مكة المكرمة",2026-08-25,عمارة,حي الجامعة,حي الجامعة,"2,300,000",364.0,,,11.0,,,دور أرضي,نعم,عمود الشركة فاضي (فرد),تهاني محمد بن سعيد باخنبري,"عمارة مؤجرة للبيع مكة العزيزية حي الجامعة
فرصة استثمارية ممتازة 👌💰✔️
واجهة شمالية 
عرض الشارع 10 م والطول 18.55 م
6 عدادات كهرباء ⚡️
لكل شقة عداد كهرباء وعداد خدمات
العمر أكثر من 30 سنه
قريب للخدماات والمساجد 
قريب للحرم المكي الشريف 

- *المساحة:* 364 م²
- *عدد الأدوار:* 3 أدوار + سطحين + 6 شقق 
⁠
◾️الدور الأرضي شقتين
 كل شقة 3 غرف + مطبخ + 2 حمام

◾️الدور الأول شقتين
 كل شقة 3 غرف + مطبخ + 2 حمام

◾️الدور الثاني شقة واحدة
 3 غرف + مطبخ + 2 حمام + سطح

◾️الدور الثالث شقة واحدة
 غرفة + مطبخ + حمام + سطح

السعر  2 مليون و 300 ألف 
الدخل 85 ألف 

⭐️ترخيص اعلان 7201097996"
6875939,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-الضيافة/شارع-الامام-البخاري-حي-الضيافة-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6875939,"عمارة للبيع في شارع الامام البخاري, حي الضيافة, مدينة مكة المكرمة, منطقة مكة المكرمة",2026-09-15,عمارة,حي الضيافة,حي الضيافة,"7,500",642.0,,,11.0,,,مؤثثة | صك مستقل,نعم,عمود الشركة فاضي (فرد),احمد فهد,"السلام عليكم ورحمة الله وبركاته

اللهم صلِّ وسلم على سيدنا ونبينا محمد

عرض عقاري مميز – حصري لدى التميمي العقارية

نأسف من التعامل مع الوسطاء والمكاتب العقارية، ونرحب بالتواصل المباشر من المشتري الجاد فقط.

فيلا تجارية على قطعة أرض تجارية | مخطط النزهة – مكة المكرمة
الموقع:

	•	على شارعين: 20م و15م
	•	درجة ثانية من الشارع العام (قرب شارع الإمام البخاري)
	•	على بعد 3.5 كم من الحرم المكي الشريف
	•	ضمن منطقة استثمارية معتمدة لإنشاء عمارة فندقية مفروشة

تفاصيل الصك:

	•	صك إلكتروني جاهز
	•	المساحة الإجمالية: 642 م²
	•	الاستخدام: تجاري / سكني
	•	فيلا تجارية قديمة قائمة حالياً على الأرض

الدخل التشغيلي الحالي (مؤجر بالكامل):

الايجارات قابله للتطوير طبعا 
الفيلا	60,000 ريال
محل الخضار	30,000 ريال
محل البقالة	50,000 ريال
الإجمالي	140,000 ريال

السعر: 8500  للمتر (السوم)

فرصة استثمارية:
موقع نادر يجمع بين القرب من الحرم المكي ودخل تشغيلي قائم فعلياً، مع إمكانية إعادة التطوير لمشروع فندقي مفروش ضمن منطقة استثمارية معتمدة — عقار يحقق عائداً حالياً ويحمل قيمة مستقبلية مضاعفة.

هذا العرض حصري لدينا فقط.

للتواصل والمعاينة: ((الرقم يظهر عند الضغط على اتصال))
أبو فهد – التميمي العقاريه"
6716598,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-العوالي/شارع-شارع-النيم-حي-العوالي-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6716598,"عمارة للبيع في شارع شارع النيم, حي العوالي, مدينة مكة المكرمة, منطقة مكة المكرمة",2026-08-29,عمارة,حي العوالي,حي العوالي,"3,100,000",900.0,,,11.0,,,,نعم,عمود الشركة فاضي (فرد),تهاني محمد بن سعيد باخنبري,"*عمارة سكنية مؤجرة للبيع | مكة - العوالي داخل الحد* 🏢

*التفاصيل:*
- *الموقع:* العوالي - داخل الحد - بجوار مسجد وحديقة
- *المساحة:* 900 م²
- *الشوارع:* على شارع 12 م + ممر خلفي 6 م

*مكونات العمارة:*
- *10 شقق* سكنية
- *بدروم*
- *ملحق أرضي*
- *توزيع الشقق:* غرفتين + مطبخ + دورات مياه
- بعض الشقق بصالة وبعضها بدون صالة

*الخدمات:*
- الماء والصرف والألياف البصرية واصلة
- العمارة مجددة من الداخل بالكامل
- عمر البناء: أكثر من 20 سنة

*الدخل:*
*180,000 ريال سنوياً*
بعقود إلكترونية موثقة

*السعر:*
*3,200,000 ريال* قابل للتفاوض

*التراخيص:*
- *ترخيص إعلان:* 7200990122
- *رخصة فال:* 1100015211"
6579013,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-النسيم/شارع-صفوان-بن-اليمان-حي-النسيم-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6579013,"عمارة للبيع في شارع صفوان بن اليمان , حي النسيم, مدينة مكة المكرمة, منطقة مكة المكرمة",2026-08-29,عمارة,حي النسيم,حي النسيم,"11,000,000",630.0,,,11.0,,,,لا,,عدنان عثمان,"العمارة تقع بمكة المكرمة قريب من المشاعر المقدسة في حي النسيم خلف جامع الأميرة فهده السديري تتكون من خمس طوابق وملحق وبدروم وبها تسع شقق ( شقتين منها تتكون من اربع غرف وصالة ومطبخ وثلاث دورات مياه ) 
وست شقق تتكون من ( خمس غرف وصاله ومطبخ وثلاث دورات ) 
وبها ملحق غرفتين ومنافعهما .
مؤجرة بالكامل ايجار سنوي .
البدروم مكيف 
ودور مواقف مكيف أيضا 
جميع اشتراطات الدفاع المدني لتصريح الحج متوفرة"
6758502,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-الجامعة/شارع-الثمار-حي-الجامعة-مكة-منطقة-مكة-المكرمة-6758502,"عمارة للبيع في شارع الثمار, حي الجامعة, مدينة مكة المكرمة, منطقة مكة المكرمة",2026-07-18,عمارة,حي الجامعة,حي الجامعة,"2,700,000",400.0,,,11.0,,,,نعم,عمود الشركة فاضي (فرد),ضيف الله سعيد عوض الزهرانى,"عمارة سكنيه للبيع بمكة المكرمة
في العزيزيه حي الجامعة 
بين شارعين تجاريه الشيخ بن حميد و عبدالله خياط
ودرجه ثالثه من طريق الملك خالد وسط العزيزية
الرابط بين الدائري الثالث والرابع
قريبه من الكعبة المشرفه ومن مشعر منى
عبارة عن دورين بها سته وحدات بمنافعها
وحدة بها اربع غرف
وحدة بها ثلاث غرف
وحدتين بها غرتين
وحدتين بها غرفه
و بوابه دخول موقف للسيارة و غرفة للسائق بمنافعها
مؤجرة بالكامل والدخل قابل للزيادة
منطقة استثمارية منافسة
المساحة 400 بالصك 
ولها معاملة جاهزة لشراء زائدة تنظيمية بمساحة 90 متر ليصبح اجمالي المساحة 490م
شارع عرض 10م 
ويمكن تعديله بالصك ليصبح 12م اسوةً بالجار. 
المبلغ المطلوب 2,900,000 قابل للتفاوض للجاد."
6840282,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-العتيبية/شارع-93-العتيبية-حي-العتيبية-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6840282,"عمارة للبيع في شارع 93 العتيبية, حي العتيبية, مدينة مكة المكرمة, منطقة مكة المكرمة",2026-08-25,عمارة,حي العتيبية,حي العتيبية,"700,000",238.0,,,11.0,,,قريب من الخدمات,نعم,عمود الشركة فاضي (فرد),مشعل بن زبن بن ماضي المطيري,"عمارة للبيع
في مكة حي الزاهر
على شارع  6م  متفرع من شارع الحج
مجددة

تحتوي  على  دورين  باربع شقق  مؤجر منها ثلاث شقق
وفي الاسفل غرفة مع حمام
المساحة 238م٢

قريبة من جميع الخدمات
دخل استثماري فوري
المطلوب 700 الف
 للتواصل ((الرقم يظهر عند الضغط على اتصال))"
6474321,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-الخالدية/شارع-محمد-صالح-قزاز-حي-الخالدية-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6474321,"عمارة للبيع في شارع محمد صالح قزاز, حي الخالدية, مدينة مكة المكرمة, منطقة مكة المكرمة",2025-11-20,عمارة,حي الخالدية,حي الخالدية,"6,000,000",661.0,,,11.0,,,,نعم,عمود الشركة فاضي (فرد),فهد عبدالعزيز سعد الحارثي,"للبيع عمارة تجارية سكنية - حي الخالدية بمكة المكرمة

مساحة 662 متر

شارع 35 تجاري

((عليها برج موبايلي مؤجر)) 

4 أدوار + دور مواقف

عدد 8 شقق:-
كل شقة 5 غرف + 3 حمامات + صالة + مطبخ. 

بالاضافة إلى شقتين بالسطح:-
شقة من غرفتين + مطبخ + حمام
شقة من غرفة + مطبخ + حمام 

الدخل الحالي: حوالي 360 ألف."
6795250,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-العدل/شارع-1-الغسالة-6-حي-العدل-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6795250,"عمارة للبيع في شارع 1 الغسالة 6, حي العدل, مدينة مكة المكرمة, منطقة مكة المكرمة",2026-08-27,عمارة,حي العدل,حي العدل,"1,300,000",400.0,,,11.0,,,,نعم,عمود الشركة فاضي (فرد),محمد بن علي بن سراج حكيم,عمارة للبيع بمنطقة العدل مخطط تنظيمي معتمد خمس شقق متوفر جميع الخدمات  مؤجرة بالكامل المشتري الجاد يتفضل واتساب او اتصال  تم تخفيض السعر
6514332,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-الخنساء/شارع-سفيان-بن-معمر-حي-وادي-جليل-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6514332,"عمارة للبيع في شارع سفيان بن معمر, حي وادي جليل, مدينة مكة المكرمة, منطقة مكة المكرمة",2025-12-20,عمارة,حي الخنساء,حي الخنساء,"1,430,000",500.0,,,11.0,,,,نعم,عمود الشركة فاضي (فرد),فارس عبدالرحمن,"للبيع عمارة مكه حي وادي جليل 

🛑(((((((الموقع غير دقيق )))))🛑

🛑السعي بذمة الي يوصل الموقع🛑

مساحة 500 ✅

واجهة جنوبي عرض الشارع 30✅

((((((((شارع تجاري)))))))) يوجد محل ✅

مكونه من 4شقق وملحق وخمس عددات كهرباء مؤجر كلها الى شقة واحده 
السعي والضريبة على المشتري 
مسيوم مليون و300الف 

التواصل ((رقم المعلن يظهر عند التواصل))"
6698496,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-النزهة/شارع-الحارس-حي-النزهة-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6698496,"عمارة للبيع في شارع الحارس, حي النزهة, مدينة مكة المكرمة, منطقة مكة المكرمة",2026-05-16,عمارة,حي النزهة,حي النزهة,"4,500,000",525.0,,,11.0,,,مصعد,نعم,عمود الشركة فاضي (فرد),عبدالله احمد عبدالرحمن قزاز,"عماره للبيع واجهتين بجوار جامع مكونه من اربع ادوار وملحق ودور ارضي صاله كبيره خدمات وبدروم 
الدور الأول الى الرابع كل دور من شقتين 
الخامس ملحق شقة كاملة. وسطوح كبير.
مصعد
مؤجرة على مؤسسة ومستغلتها كمدرسة.
تبعد عن الحرم ربع ساعه بالسياره 
بالقرب من شارع الستين التجاري
عنوان الموقع الصحيح 
 https://maps.app.goo.gl/AezDX86hogiUG8Hn8?g_st=iw

للتواصل واتس اب"
